body,score
เมื่อ 12 มี.ค. นายแอนโธนี เทรนกา ผู้พิพากษาศาลกลางในเมืองอเลกซานเดรีย รัฐเวอร์จิเนีย ในสหรัฐฯ สั่งให้เชลซี แมนนิง อดีตนักวิเคราะห์ข่าวกรองของกองทัพสหรัฐฯที่กลายเป็นสตรีข้ามเพศ ผู้ส่งต่อข้อมูลที่เป็นความลับของกองทัพสหรัฐฯไปให้กับเว็บไซต์วิกิลีกส์ ควรได้รับการปล่อยตัวจากเรือนจำ ซึ่งถูกกักขังตั้งแต่เดือน พ.ค.ปีกลายจากกรณีที่ไม่ให้ความร่วมมือกับคณะลูกขุนใหญ่ในการไต่สวนคดีวิกิลีกส์ทันที หลังคณะลูกขุนใหญ่สิ้นสุดการพิจารณานอกจากนี้ นายเทรนกายังปฏิเสธคำร้องของแมนนิงที่ให้ยกเลิกการจ่ายค่าปรับที่ไม่ยอมไปให้การในชั้นศาล ซึ่งเป็นเงินค่าปรับจำนวนทั้งสิ้น 256000 เหรียญสหรัฐฯ หรือราว 8 ล้านบาท ส่วนการพิจารณาฝากขังที่มีกำหนดในวันรุ่งขึ้นก็ให้มีคำสั่งยกเลิก ก่อนหน้านี้ แมนนิงพยายามฆ่าตัวตายแต่ได้รับการช่วยเหลือและถูกนำตัวส่งโรงพยาบาล อาการเริ่มดีขึ้น โดยแมนนิงเชื่อว่าคณะลูกขุนใหญ่ใช้อำนาจในทางมิชอบและเธอยอมอดตายดีกว่าไปให้ปากคำ.,0.6
ปัตตานี-12 พ.ค.48พ.อ.สมควร แสงภัทรเนตร โฆษกกองอำนวยการเสริมสร้างสันติสุขจังหวัดชายแดนภาคใต้ (กอ.สสส.จชต.) ยืนยันว่า ผู้ปกครองและนักศึกษามหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี ไม่ใช่เป้าหมายของการก่อการร้ายในพื้นที่ 3 จังหวัดชายแดนภาคใต้แต่อย่างใด เราติดตามข่าวกรองทางทหาร ซึ่งมีกระบวนการวงรอบข่าวกรองเป็นระบบเดียวที่ใช้อยู่ทั่วโลก เราพบว่า ในห้วงที่ผ่านมานักศึกษาไม่ใช่เป้าหมายของการก่อความไม่สงบ ซึ่งเป็นเรื่องที่น่ายินดีว่า บ้าน เมืองเรานั้นยังไม่ถึงขั้นขนาดนั้น ไม่เคยมีข่าวว่า กลุ่มผู้ก่อความไม่สงบมีเป้าหมายขยายไปถึงกลุ่มนักศึกษา พ.อ.สมควร กล่าว เมื่อเป็นเช่นนี้ จึงขอให้ผู้ปกครองและนักศึกษาไม่ต้องวิตกกังวลในการศึกษาเล่าเรียน เพราะหากมีการทำร้ายนักศึกษาก็จะผลเสียทางการเมืองต่อกลุ่มผู้ก่อความไม่สงบในการแย่งชิงมวลชน แต่สิ่งที่นักศึกษาต้องระวังคือ การที่อาจจะถูกลูกหลง โดยเฉพาะกรณีการลอบวางระเบิดในที่ชุมนุมชน ซึ่งจะต้องระมัดระวังเป็นอย่างมาก แต่เรื่องการที่จะใช้อาวุธทำร้ายนักศึกษานั้น ไม่มีแน่นอน ขอให้นักศึกษาสบายใจได้ ,0.4
 คือตราชู ผู้ชี้ เสรีสิทธิ คือศาลสถิต ยุติธรรม นำสมัย คือหลัก ประกัน ประชาธิปไตย มิใช่อภิชนคนชั้นฟ้า ครุยที่สวม นั้นมา จากภาษี รถที่ขี่ เงินใคร ให้หรูหรา ข้าวที่กิน ดินที่ย่ำ บ้านงามตา ล้วนแต่เงิน ของมหาประชาชนมิได้ อวตาร มาโปรดสัตว์ แต่เป็น ลูกจ้างรัฐ ตั้งแต่ต้น ให้อำนาจ แล้วอย่าหลง ทนงตนว่าเป็นคน เหนือคน ชี้เป็น-ตาย เสาหลัก ต้องเป็นหลัก อันศักดิ์สิทธิ์ ใช่ต้องลม เพียงนิด ก็ล้มหงาย ยิ่งเสาสูง ใจต้องสูง เด่นท้าท้าย ใช่ใจง่าย เห็นเงิน แล้วเออออ ต้องเปิด โลกทัศน์ อย่างชัดเจน ใช่ซ่อนเร้น อ่านตำรา แต่ในหอ ออกบัลลังค์ นั่งเพลิน คำเยินยอ เลือกเหล่ากอ มากอง ห้องทำงาน ตุลาการ คือหนึ่ง อธิปไตย อันเป็นของ คนไทย ไพร่-ชาวบ้าน มิใช่ของ ใครผู้หนึ่ง ซึ่งดักดานแต่เป็น ตุลาการ ประชาชน ฉะนั้นพึง สำนึก มโนทัศน์ ใช่ด้านดัด มืดดับ ด้วยสับสน เปื้อนราคิน กินสินบาท คาดสินบนแล้วแบ่งคน แบ่งชั้น บัญชาชี้ เถิดตุลาการ จงคิด อย่างอิสระ รับภาระ อันหนักหนา ทำหน้าที่ หากรับใช้ ใบสั่ง ดั่งกาลี ตุลาการ เช่นนี้ อย่ามีเลย : อานนท์ นำภา ๖ พฤศจิกายน ๕๓ แก้ไขเพิ่มเติมจากฉบับเดิม ๓ กันยายน ๕๓,0.2
กอล์ฟยูโรเปี้ยนทัวร์รายการซิซิเลี่ยน โอเพ่น ที่เวอร์ดูร่า กอล์ฟ แอนด์ สปา รีสอร์ท บนเกาะซิซิลี ประเทศอิตาลี วันสุดท้ายปรากฏว่า ธอร์ปยอน โอเลเซ่น โปรเดนมาร์กวัย 22 ปี ทำผลงานตีเพิ่มเข้ามาอีก 3 อันเดอร์ คะแนนรวม 4 วัน 15 อันเดอร์ คว้าแชมป์ไปครอง โดยเฉือนชนะคริส วู้ด โปรอังกฤษที่วันสุดท้ายเร่งเครื่องตีไปถึง 8 อันเดอร์ไปเพียงสโตรกเดียวเท่านั้นส่วนการแข่งขันกอล์ฟเอเชี่ยนทัวร์ รายการพานาโซนิค โอเพ่น ที่กรุงนิว เดลี ประเทศอินเดีย แชมป์ตกเป็นของดิกวีเจย์ ซิงห์ โปรเจ้าถิ่นคะแนนรวม 4 วัน 11 อันเดอร์ เอาชนะซิดดิกูร์ โปรบังกลาเทศที่คว้าอันดับ 2 ไป 2 สโตรก ส่วนแอสกอร์ คูมาร์ ผู้นำวันที่ 3 พลาดตีเกินถึง 3 โอเวอร์ ทำให้จบที่อันดับ 8 ร่วม ขณะที่บุญชู เรืองกิต เป็นโปรไทยที่ทำผลงานดีที่สุดโดยจบที่อันดับ 4 คะแนนรวม 7 อันเดอร์,0.7
3 สาววัยรุ่นชวนกันมากระโดดแม่น้ำเจ้าพระยา โดยกระโดดลงจากสะพานพระราม 8 ฝั่งธนบุรี ช่วยได้ทัน 1 คน อีกคนนำขึ้นมาได้แต่เสียชีวิตแล้ว ส่วนอีก 1 คน จมหายไป ยังไม่ทราบสาเหตุ เบื้องต้นยืนยันไม่เกี่ยวกับโรคระบาดวันที่ 4 เม.ย. ผู้สื่อข่าวรายงานว่า ทางเจ้าหน้าที่ตำรวจ สน.บวรมงคล รับแจ้งเหตุมีประชาชนกระโดดสะพาน บริเวณกลางสะพานพระราม 8 ฝั่งธนบุรี แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯจากการตรวจสอบเบื้องต้นพบเป็นเพศหญิง 3 ราย ทางเจ้าหน้าที่ได้ทำการช่วยเหลือขึ้นมาได้แล้ว 1 ราย เสียชีวิต 1 และสูญหายอีก 1 รายทั้งนี้ จากการสอบถาม นางสาว กิ๊บ (นามสมมติ) หนึ่งในสาม ที่กระโดดน้ำ ยืนยันว่าตนเองกับเพื่อนอีก 2 คน ได้ชักชวนกันมากระโดดสะพาน เพราะมีปัญหาทางครอบครัว เบื้องต้นขณะเจ้าหน้าที่มูลนิธิสอบถาม ประมาณ 10 นาที น้องกิ๊บ ไม่มีอาการไอ และแจ้งว่าไม่เคยมีอาการเข้าข่ายในกลุ่มเสี่ยง โควิด-19 แต่อย่างใดด้านแม่ของ น.ส.กิ๊บบอกว่า ลูกสาวเคยไปพบจิตแพทย์ ตอนนี้เรียนหนังสือ และพักอยู่กับเพื่อนๆ โดยเช่าหออยู่ย่านดินแดง ส่วนสาเหตุที่แท้จริงเจ้าหน้าที่กำลังสอบสวน พร้อมระดมออกค้นหาหญิงสาวอีก 1 คน ที่ยังหาไม่เจอ คาดว่าน่าจะจมน้ำเสียชีวิตแล้ว,0.9
ประชาไท-20 ม.ค.48 รศ.ดร.สมพร เตรียมชัยศรี คณะสาธารณสุขศาสตร์ มหิดล นำเสนอผลงานวิจัยเรื่องความรุนแรงในเด็ก สายโซ่วงจรของความรุนแรง โดยผลการศึกษาวิจัยชี้ว่า ความรุนแรงที่เกิดขึ้นภายในครอบครัว จะส่งผลถึงความก้าวร้าวของเด็ก เมื่อเด็กถูกถูกกระทำความรุนแรงจากครอบครัวและคนรอบข้าง ก็จะทำให้เกิดความรู้สึกอยากแก้แค้น และเริ่มระบายออกในช่วงระดับมัธยมศึกษา โดยอาจจะสะสมไปจนถึงช่วงอาชีวะศึกษาจนถึงช่วงมีครอบครัว กลายเป็นวัฏจักรความรุนแรงต่อไปเรื่อยๆ ผลการศึกษาวิจัย ระบุ โดยงานวิจัยชิ้นนี้ได้ทำการศึกษาวิจัยเด็กระดับ ป.5-6 จำนวน 370 คน โดยเด็กที่ถูกกระทำรุนแรง 336 คนหรือร้อยละ 90.8 มีพฤติกรรมการแสดงออกหลังถูกกระทำ โดยระเบิดอารมณ์กับพี่น้องร้อยละ 23.5 โกรธอยากแก้แค้นร้อยละ 17.8 แค้นใจถ้ามีโอกาสอยากโต้ตอบร้อยละ 17.3 เมื่อเทียบกับเด็ก ม.1-3 จำนวน 335 คน พบว่าถูกกระทำความรุนแรงด้านร่างกายและจิตใจรวม 252 คน หรือร้อยละ 75.2 โดยส่งผลต่อจิตใจให้เด็กรู้สึกน้อยใจเสียใจร้อยละ 88.8 รู้สึกเศร้าใจร้อยละ 77.2 รู้สึกเจ็บใจแค้นใจอยากโต้ตอบร้อยละ 76.9 อยากแก้แค้นร้อยละ 72.8 รู้สึกอยากระบายอารมณ์กับพี่น้องร้อยละ 62.2 ,0.75
หมายเหตุประเพทไทยสัปดาห์นี้ พบกับ คำ ผกา และ อรรถ บุนนาค มาคุยกันถึงเหตุการณ์เกี่ยวกับ สตรีนิยม ในต่างประเทศที่เพิ่งมีการต่อต้านจากสตรีด้วยกัน ด้วยการรณรงค์ปฏิเสธสตรีนิยม การรณรงค์ดังกล่าวนี้เกิดขึ้นในช่วงราว 2 เดือนเศษที่ผ่านมาบนโลกสังคมออนไลน์ เมื่อมีผู้หญิงจำนวนหนึ่งถ่ายภาพคู่กับกระดาษที่เขียนข้อความขึ้นต้นว่า I dont need feminism และบรรยายเหตุผลต่างๆ ของการปฏิเสธกระแสสตรีนิยม และเผยแพร่ไปบนอินเตอร์เน็ตหมายเหตุประเพทไทยสัปดาห์นี้ จับกระแสความเคลื่อนไหวต่อต้านสตรีนิยมมาวิเคราะห์ และพูดคุยถึงประวัติศาสตร์การต่อสู้ของสตรีนิยมซึ่งนับถอยหลังไปได้ไกลถึงเกือบหนึ่งศตวรรษ โดยเป็นขบวนการต่อสู้ในสังคมตะวันตกเพื่อให้ผู้หญิงมีความเป็นมนุษย์เท่าเทียมกับผู้ชาย จนกระทั่งการต่อสู้เพื่อความเท่าเทียมในเรื่องอื่นๆ รวมถึงการต่อสู้เพื่อจะไม่ถูกเลือกปฏิบัติอันเนื่องจากความเป็นผู้หญิง,0.7
วงการเทคโนโลยีของจีนคิดค้นและพัฒนาไม่หยุด ล่าสุดสถาบันต๋าโม๋ (DAMO Academy) สถาบันวิจัยทางวิทยาศาสตร์ของอาลีบาบา ของมหาเศรษฐีจีน แจ็ค หม่า เริ่มทดสอบรถยนต์ไร้คนขับบนท้องถนนแบบจำลองแล้วสำนักข่าวซินหัว เผยแพร่ข่าวนี้ พร้อมคลิปวิดีโอการทดสอบ โดยระบุว่า เป็นการเปิดตัวแพลตฟอร์มทดสอบรถยนต์ไร้คนขับบนท้องถนนแบบจำลองครั้งแรก ที่ใช้เทคโนโลยีเสมือนจริง (Virtual Reality Aystem) ช่วยทดสอบการทำงานของยานพาหนะไร้คนขับในสภาพแวดล้อมจริงแบบเรียลไทม์จากคลิปจะเห็นว่ามีการทดสอบโดยคำนวณถึงรูปแบบที่มีคน หรือยานพาหนะจำลองเข้ามาแทรกในระหว่างขับ เพื่อให้นักวิจัยสร้างและจำลองสถานการณ์ที่ยากลำบากได้ เพื่อช่วยปรับปรุงความแม่นยำในการตรวจจับท้องถนนและยานพาหนะ รวมถึงประสิทธิภาพการทำงานแบบเรียลไทม์ด้วยการจำลองสถานการณ์จริงที่มีความสลับซับซ้อนนี้ใช้เวลา 30 วินาที ทำให้นักวิจัยสามารถจำลองสถานการณ์จำนวนมากได้ นอกจากนั้นตัวเลขไมล์สะสมเสมือนจริงของระบบยังเพิ่มสูงสุดได้ถึง 8 ล้านกิโลเมตรต่อวัน ซึ่งยิ่งเพิ่มประสิทธิภาพและความรวดเร็วในการทดสอบได้ที่มา : สำนักข่าวซินหัว,0.7
"เมื่อวันที่ 28 มกราคม 2559 ผู้สื่อข่าวรายงานว่า หลังจากที่กระแสตุ๊กตาลูกเทพกำลังมาแรง นอกจากสร้างความเชื่อมั่นกับผู้ที่นิยมแล้ว ยังสร้างความหนักใจให้กับฝ่ายความมั่นคง เพราะล่าสุดถูกนำไปซุกซ่อนยาเสพติดจนกลายเป็นข่าวดังไปถึงประเทศเมียนมา,นายโก่ โก่อู ประธานสื่อมวลชนจังหวัดเมียวดี ประเทศเมียนมา ได้สอบถามมายังผู้สื่อข่าวฝั่งจังหวัดตาก ขอรายละเอียดเกี่ยวกับเรื่องนี้ เนื่องจากสื่อโทรทัศน์ในจังหวัดเมียวดีได้เสนอข่าวนี้ด้วย โดยล่าสุดนายโก่ โก่อู ได้แจ้งมาว่าทางด่านความมั่นคงฝั่งเมียวดี ซึ่งอยู่ที่สะพานมิตรภาพไทย-เมียนมา สั่งเจ้าหน้าที่ด่านตรวจเข้มงวดเรื่องตุ๊กตาทุกชนิด ไม่เว้นแม้แต่ตุ๊กตาลูกเทพด้วย หากมีการจะนำเข้า-ออก ให้มีการนำไปเอกซเรย์ตรวจสิ่งเสพติดทุกตัว,ขณะที่ ด้านด่านชายแดนถาวรฝั่งไทย ก็มีการตรวจเข้มเช่นกัน โดยทหารหน่วยเฉพาะกิจกรมทหารราบที่ 4 ได้ตั้งโต๊ะตรวจสัมภาระแยกจากศุลกากรอีกจุดหนึ่ง แต่เบื้องต้นยังไม่พบมีการนำเข้า-ออกแต่อย่างใด,ส่วนที่สนามบินแม่สอด ผู้สื่อข่าวได้ตระเวนดูเกี่ยวกับการนำตุ๊กตาลูกเทพผ่านเข้า-ออก เบื้องต้นก็ยังไม่พบเช่นกันมีเพียงตุ๊กตากระเป๋าของเด็กเท่านั้น.",0.6
เพิ่งสะบั้นรักกันไปหยกๆ มาสัปดาห์นี้ในละคร ร้อยป่า นางเอกสาว ปูเป้-เกศรินทร์ หายโกรธแล้ว แถมยังเป็นฝ่ายไปจูบพระเอก บิ๊กเอ็ม-กฤตฤทธิ์ ก่อนอีกตะหากในฉาก ที่ เสือ กลิ่นสัก (บิ๊กเอ็ม) เอ่ยปากขอ คุณแป๋ว (ปูเป้) แต่งงานและยังขอจูบมัดจำ 1 จุ๊บก่อน แต่ คุณแป๋ว ไม่ให้ เสือ ก็เลยมีงอน คุณแป๋ว เลยต้องจูจุ๊บ เสือ เพื่อง้อเลยโดน เสือ จับจูบแบบดูดดื่มซะเลย>> อ่านเรื่องย่อนิยายทุกเรื่อง คลิกที่นี่ <<ผกก.อ้างว่าเป็นฉากสำคัญเลยขอจูบจริง บิ๊กเอ็ม ไม่มีปัญหา ส่วน ปูเป้ หน้าแดงพูดด้วยความเขิน ก็ได้ค่ะ แต่พี่บิ๊กเอ็มห้ามแกล้งหนู บิ๊กเอ็ม หัวเราะก่อนตอบตกลง ผกก.ให้ซักซ้อมเบาๆเพื่อได้ความสดตอนถ่ายจริงเมื่อเริ่มถ่าย บิ๊กเอ็ม พูดขอแต่งงานก่อน พอถึงตอนขอจูบมัดจำ ปูเป้ เซย์โน บิ๊กเอ็ม ก็ทำงอน ปูเป้ เลยจูบง้อไป 1 จุ๊บเบาๆ บิ๊กเอ็ม ได้ทีคว้า ปูเป้ หมับจับจูบประกบปากแบบเต็มๆ แบบนี้เขาถึงว่าจูบจ้ะ จูบสอนเด็กมันซะเลย (ฮา)อย่าพลาดชม วันศุกร์-อาทิตย์ นี้ 20.30 น. ทางช่อง 7 HD.,0.0
